,TownID,Postal,CountryName,Country,TownName,Town
215,6300600,103,臺北,臺北市,大同,大同區
210,6300100,105,臺北,臺北市,松山,松山區
216,6300700,108,臺北,臺北市,萬華,萬華區
220,6301100,111,臺北,臺北市,士林,士林區
221,6301200,112,臺北,臺北市,北投,北投區
219,6301000,114,臺北,臺北市,內湖,內湖區
218,6300900,115,臺北,臺北市,南港,南港區
217,6300800,116,臺北,臺北市,文山,文山區
201,1001704,200,基隆,基隆市,仁愛,仁愛區
204,1001707,201,基隆,基隆市,信義,信義區
211,6300200,201,臺北,臺北市,信義,信義區
214,6300500,202,臺北,臺北市,中正,中正區
198,1001701,202,基隆,基隆市,中正,中正區
202,1001705,203,基隆,基隆市,中山,中山區
213,6300400,203,臺北,臺北市,中山,中山區
203,1001706,204,基隆,基隆市,安樂,安樂區
200,1001703,205,基隆,基隆市,暖暖,暖暖區
199,1001702,206,基隆,基隆市,七堵,七堵區
287,6502800,207,新北,新北市,萬里,萬里區
286,6502700,208,新北,新北市,金山,金山區
0,900701,209,連江,連江縣,南竿,南竿鄉
1,900702,210,連江,連江縣,北竿,北竿鄉
2,900703,211,連江,連江縣,莒光,莒光鄉
3,900704,212,連江,連江縣,東引,東引鄉
260,6500100,220,新北,新北市,板橋,板橋區
270,6501100,221,新北,新北市,汐止,汐止區
277,6501800,222,新北,新北市,深坑,深坑區
278,6501900,223,新北,新北市,石碇,石碇區
271,6501200,224,新北,新北市,瑞芳,瑞芳區
283,6502400,226,新北,新北市,平溪,平溪區
284,6502500,227,新北,新北市,雙溪,雙溪區
285,6502600,228,新北,新北市,貢寮,貢寮區
265,6500600,231,新北,新北市,新店,新店區
279,6502000,232,新北,新北市,坪林,坪林區
288,6502900,233,新北,新北市,烏來,烏來區
263,6500400,234,新北,新北市,永和,永和區
262,6500300,235,新北,新北市,中和,中和區
272,6501300,236,新北,新北市,土城,土城區
268,6500900,237,新北,新北市,三峽,三峽區
266,6500700,238,新北,新北市,樹林,樹林區
267,6500800,239,新北,新北市,鶯歌,鶯歌區
261,6500200,241,新北,新北市,三重,三重區
264,6500500,242,新北,新北市,新莊,新莊區
275,6501600,243,新北,新北市,泰山,泰山區
276,6501700,244,新北,新北市,林口,林口區
273,6501400,247,新北,新北市,蘆洲,蘆洲區
274,6501500,248,新北,新北市,五股,五股區
282,6502300,249,新北,新北市,八里,八里區
269,6501000,251,新北,新北市,淡水,淡水區
280,6502100,252,新北,新北市,三芝,三芝區
281,6502200,253,新北,新北市,石門,石門區
10,1000201,260,宜蘭,宜蘭縣,宜蘭,宜蘭市
13,1000204,261,宜蘭,宜蘭縣,頭城,頭城鎮
14,1000205,262,宜蘭,宜蘭縣,礁溪,礁溪鄉
15,1000206,263,宜蘭,宜蘭縣,壯圍,壯圍鄉
16,1000207,264,宜蘭,宜蘭縣,員山,員山鄉
11,1000202,265,宜蘭,宜蘭縣,羅東,羅東鎮
19,1000210,266,宜蘭,宜蘭縣,三星,三星鄉
20,1000211,267,宜蘭,宜蘭縣,大同,大同鄉
18,1000209,268,宜蘭,宜蘭縣,五結,五結鄉
