,TownID,CountryName,Country,TownName,Town
0,900701,連江,連江縣,南竿,南竿鄉
1,900702,連江,連江縣,北竿,北竿鄉
2,900703,連江,連江縣,莒光,莒光鄉
3,900704,連江,連江縣,東引,東引鄉
4,902001,金門,金門縣,金城,金城鎮
5,902002,金門,金門縣,金沙,金沙鎮
6,902003,金門,金門縣,金湖,金湖鎮
7,902004,金門,金門縣,金寧,金寧鄉
8,902005,金門,金門縣,烈嶼,烈嶼鄉
9,902006,金門,金門縣,烏坵,烏坵鄉
10,1000201,宜蘭,宜蘭縣,宜蘭,宜蘭市
11,1000202,宜蘭,宜蘭縣,羅東,羅東鎮
12,1000203,宜蘭,宜蘭縣,蘇澳,蘇澳鎮
13,1000204,宜蘭,宜蘭縣,頭城,頭城鎮
14,1000205,宜蘭,宜蘭縣,礁溪,礁溪鄉
15,1000206,宜蘭,宜蘭縣,壯圍,壯圍鄉
16,1000207,宜蘭,宜蘭縣,員山,員山鄉
17,1000208,宜蘭,宜蘭縣,冬山,冬山鄉
18,1000209,宜蘭,宜蘭縣,五結,五結鄉
19,1000210,宜蘭,宜蘭縣,三星,三星鄉
20,1000211,宜蘭,宜蘭縣,大同,大同鄉
21,1000212,宜蘭,宜蘭縣,南澳,南澳鄉
22,1000401,新竹,新竹縣,竹北,竹北市
23,1000402,新竹,新竹縣,竹東,竹東鎮
24,1000403,新竹,新竹縣,新埔,新埔鎮
25,1000404,新竹,新竹縣,關西,關西鎮
26,1000405,新竹,新竹縣,湖口,湖口鄉
27,1000406,新竹,新竹縣,新豐,新豐鄉
28,1000407,新竹,新竹縣,芎林,芎林鄉
29,1000408,新竹,新竹縣,橫山,橫山鄉
30,1000409,新竹,新竹縣,北埔,北埔鄉
31,1000410,新竹,新竹縣,寶山,寶山鄉
32,1000411,新竹,新竹縣,峨眉,峨眉鄉
33,1000412,新竹,新竹縣,尖石,尖石鄉
34,1000413,新竹,新竹縣,五峰,五峰鄉
35,1000501,苗栗,苗栗縣,苗栗,苗栗市
36,1000502,苗栗,苗栗縣,苑裡,苑裡鎮
37,1000503,苗栗,苗栗縣,通霄,通霄鎮
38,1000504,苗栗,苗栗縣,竹南,竹南鎮
39,1000505,苗栗,苗栗縣,頭份,頭份市
40,1000506,苗栗,苗栗縣,後龍,後龍鎮
41,1000507,苗栗,苗栗縣,卓蘭,卓蘭鎮
42,1000508,苗栗,苗栗縣,大湖,大湖鄉
43,1000509,苗栗,苗栗縣,公館,公館鄉
44,1000510,苗栗,苗栗縣,銅鑼,銅鑼鄉
45,1000511,苗栗,苗栗縣,南庄,南庄鄉
46,1000512,苗栗,苗栗縣,頭屋,頭屋鄉
47,1000513,苗栗,苗栗縣,三義,三義鄉
48,1000514,苗栗,苗栗縣,西湖,西湖鄉
49,1000515,苗栗,苗栗縣,造橋,造橋鄉
50,1000516,苗栗,苗栗縣,三灣,三灣鄉
51,1000517,苗栗,苗栗縣,獅潭,獅潭鄉
52,1000518,苗栗,苗栗縣,泰安,泰安鄉
53,1000701,彰化,彰化縣,彰化,彰化市
54,1000702,彰化,彰化縣,鹿港,鹿港鎮
55,1000703,彰化,彰化縣,和美,和美鎮
56,1000704,彰化,彰化縣,線西,線西鄉
57,1000705,彰化,彰化縣,伸港,伸港鄉
58,1000706,彰化,彰化縣,福興,福興鄉
59,1000707,彰化,彰化縣,秀水,秀水鄉
60,1000708,彰化,彰化縣,花壇,花壇鄉
61,1000709,彰化,彰化縣,芬園,芬園鄉
62,1000710,彰化,彰化縣,員林,員林市
63,1000711,彰化,彰化縣,溪湖,溪湖鎮
64,1000712,彰化,彰化縣,田中,田中鎮
65,1000713,彰化,彰化縣,大村,大村鄉
66,1000714,彰化,彰化縣,埔鹽,埔鹽鄉
67,1000715,彰化,彰化縣,埔心,埔心鄉
68,1000716,彰化,彰化縣,永靖,永靖鄉
69,1000717,彰化,彰化縣,社頭,社頭鄉
70,1000718,彰化,彰化縣,二水,二水鄉
71,1000719,彰化,彰化縣,北斗,北斗鎮
72,1000720,彰化,彰化縣,二林,二林鎮
73,1000721,彰化,彰化縣,田尾,田尾鄉
74,1000722,彰化,彰化縣,埤頭,埤頭鄉
75,1000723,彰化,彰化縣,芳苑,芳苑鄉
76,1000724,彰化,彰化縣,大城,大城鄉
77,1000725,彰化,彰化縣,竹塘,竹塘鄉
78,1000726,彰化,彰化縣,溪州,溪州鄉
79,1000801,南投,南投縣,南投,南投市
80,1000802,南投,南投縣,埔里,埔里鎮
81,1000803,南投,南投縣,草屯,草屯鎮
82,1000804,南投,南投縣,竹山,竹山鎮
83,1000805,南投,南投縣,集集,集集鎮
84,1000806,南投,南投縣,名間,名間鄉
85,1000807,南投,南投縣,鹿谷,鹿谷鄉
86,1000808,南投,南投縣,中寮,中寮鄉
87,1000809,南投,南投縣,魚池,魚池鄉
88,1000810,南投,南投縣,國姓,國姓鄉
